model_name,current_time,input_len,output_len,total_req,max_cc,cc,rr,repeat_rate,TTFT avg,TTFT P90,TPOT avg,TPOT SLO_P90,E2E_time,output_throughput,single_output_throughput,E2E_throughput,single_E2E_throughput,qps,qpm,input_token_throughput,prefill_token_throughput,E2EL avg,E2EL P90
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-23 18:09:08,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-23 18:30:07,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-23 18:35:00,204799.0,1.0,5.0,1,0.9999,0,0.0,43964.7,63247.4,99999.0,99999.0,219.8374749,0.0227,0.0227,4657.9865,4657.9865,0.0227,1.362,4657.9638,4658.2601,43964.8,63247.5
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-23 18:54:12,204799.0,1.0,5.0,1,0.9999,0,0.0,37894.2,39285.4,99999.0,99999.0,189.4845105,0.0264,0.0264,5404.1357,5404.1357,0.0264,1.584,5404.1093,5404.4974,37894.2,39285.5
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-23 19:08:57,65536.0,2560.0,24.0,1,1.0,0,0.0,11105.7,9693.6,8.5,8.8,790.2427423,77.7483,77.7483,2068.1038,2068.1038,0.0304,1.824,1990.3555,5901.0875,32925.2,32168.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-23 19:17:04,65536.0,2560.0,24.0,2,1.9746,0,0.0,10149.8,9743.6,9.2,9.2,409.2781992,150.1179,150.1179,3993.1372,3993.1372,0.0586,3.516,3843.0193,6456.9076,33672.7,37188.9
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-23 19:18:25,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 00:08:42,204799.0,1.0,5.0,1,0.9999,0,0.0,56884.1,71568.7,99999.0,99999.0,284.435469,0.0176,0.0176,3600.1136,3600.1136,0.0176,1.056,3600.096,3600.2832,56884.2,71568.8
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 00:40:45,65536.0,2560.0,24.0,2,1.9983,0,0.0,36961.0,40019.6,46.5,48.3,1872.9448872,32.804,32.804,872.5852,872.5852,0.0128,0.768,839.7813,1773.1133,155942.8,160104.2
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 01:02:57,204799.0,1.0,5.0,1,0.9999,0,0.0,20210.7,20680.7,99999.0,99999.0,101.0675389,0.0495,0.0495,10131.8387,10131.8387,0.0495,2.97,10131.7892,10133.1785,20210.8,20680.7
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 01:12:27,65536.0,2560.0,24.0,2,1.9878,0,0.0,6866.5,7110.8,8.7,9.0,351.9016283,174.5942,174.5942,4644.207,4644.207,0.0682,4.092,4469.6127,9544.3714,29145.9,29703.8
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 01:21:49,65431.4167,2560.0,24.0,2,1.9899,0,0.0,6820.2,7807.2,9.5,9.9,376.2867272,163.2797,163.2797,4336.5707,4336.5707,0.0638,3.828,4173.291,9593.7543,31199.0,32693.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 01:30:27,65536.0,2560.0,24.0,2,1.9872,0,0.0,6886.8,7336.9,8.8,9.0,354.8589201,173.1392,173.1392,4605.5035,4605.5035,0.0676,4.055999999999999,4432.3643,9516.2044,29382.2,30378.8
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 01:39:27,65431.4167,2560.0,24.0,2,1.9894,0,0.0,6920.0,7999.3,8.8,8.9,353.97793310000003,173.5701,173.5701,4609.8749,4609.8749,0.0678,4.068,4436.3048,9455.387,29341.9,30564.9
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 02:03:50,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 02:08:45,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 02:29:44,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 02:32:40,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 02:48:20,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 03:12:17,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-24 03:17:49,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
