model_name,current_time,input_len,output_len,total_req,max_cc,cc,rr,repeat_rate,TTFT avg,TTFT P90,TPOT avg,TPOT SLO_P90,E2E_time,output_throughput,single_output_throughput,E2E_throughput,single_E2E_throughput,qps,qpm,input_token_throughput,prefill_token_throughput,E2EL avg,E2EL P90
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 21:27:13,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 21:36:13,204799.0,1.0,5.0,1,0.9999,0,0.0,47540.5,75328.3,99999.0,99999.0,237.7157139,0.021,0.021,4307.6664,4307.6664,0.021,1.26,4307.6454,4307.8861,47540.6,75328.3
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 21:40:29,65536.0,2560.0,10.0,2,1.9578,0,0.0,14106.1,31119.8,8.1,8.2,178.13670910000002,143.7099,143.7099,3822.682,3822.682,0.0561,3.366,3678.9722,4645.9416,34875.1,52071.2
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 21:47:41,65536.0,1024.0,10.0,2,1.9197,0,0.0,9685.6,9880.0,8.1,8.3,93.8157107,109.1502,109.1502,7094.7605,7094.7605,0.1066,6.396,6985.6104,6766.3613,18009.8,18087.1
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 21:55:07,65536.0,2560.0,10.0,2,1.952,0,0.0,9685.2,9877.4,8.1,8.2,156.2877655,163.8004,163.8004,4357.0909,4357.0909,0.064,3.84,4193.2905,6766.5868,30507.9,30586.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 22:09:05,65431.4167,2560.0,24.0,2,1.9771,0,0.0,9403.7,11364.3,8.2,8.3,369.7119068,166.1834,166.1834,4413.6907,4413.6907,0.0649,3.894,4247.5072,6958.0801,30457.2,32708.3
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 22:16:12,65431.4167,2560.0,24.0,2,1.9775,0,0.0,9409.5,11359.5,8.2,8.3,369.7425815,166.1697,166.1697,4413.3245,4413.3245,0.0649,3.894,4247.1549,6953.7457,30464.5,32688.5
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 22:25:06,65536.0,2560.0,10.0,2,1.9529,0,0.0,9782.6,9976.3,8.2,8.2,157.4072474,162.6355,162.6355,4326.1032,4326.1032,0.0635,3.81,4163.4678,6699.2573,30740.1,30941.6
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 22:33:18,65536.0,2560.0,24.0,2,1.9228,0,0.0,9931.4,11138.1,8.9,9.4,406.8656108,151.0081,151.0081,4016.8153,4016.8153,0.059,3.54,3865.8072,6598.8989,32596.2,43373.9
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 22:35:45,65536.0,2560.0,24.0,2,1.9228,0,0.0,9931.4,11138.1,8.9,9.4,406.8656108,151.0081,151.0081,4016.8153,4016.8153,0.059,3.54,3865.8072,6598.8989,65536.0,9931.4
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 22:43:01,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
DeepSeek-V4-Flash-DSpark-w4a8-scope-ci,2026-09-22 22:51:59,99999.0,99999.0,99999.0,99999,99999.0,0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
